 09:17:33 up  1:10,  0 users,  load average: 0.02, 0.01, 0.00
 09:17:43 up  1:10,  0 users,  load average: 0.01, 0.01, 0.00
 09:17:53 up  1:10,  0 users,  load average: 0.01, 0.01, 0.00
 09:18:03 up  1:10,  0 users,  load average: 0.01, 0.01, 0.00
 09:18:13 up  1:10,  0 users,  load average: 0.01, 0.00, 0.00
 09:18:23 up  1:11,  0 users,  load average: 0.01, 0.00, 0.00
 09:18:33 up  1:11,  0 users,  load average: 0.00, 0.00, 0.00
 09:18:43 up  1:11,  0 users,  load average: 0.00, 0.00, 0.00
 09:18:53 up  1:11,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:03 up  1:11,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:13 up  1:11,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:23 up  1:12,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:33 up  1:12,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:43 up  1:12,  0 users,  load average: 0.00, 0.00, 0.00
 09:19:53 up  1:12,  0 users,  load average: 0.00, 0.00, 0.00
